race,g1classsize,g1treadss,g1tmathss
1,23,516,578
1, , , 
2, , , 
1,22,451,507
2, , , 
2, , , 
2, , , 
2, , , 
2,21,483,526
2, , , 
2,21,516,505
2,21,433,463
2, , , 
2, , , 
2, , , 
2,29,444,542
1, , , 
1, , , 
1, , , 
2, , , 
2, , , 
2, , , 
2,17,471,444
1, , , 
2, , , 
1, , , 
1,15,487,484
1, , , 
2, , , 
2, , , 
2, , , 
2, , , 
2,22,503,505
1,21,524,515
1, , , 
 , , , 
2, , , 
 , , , 
2, , , 
1,24,457,497
1, , , 
1,23,430,486
1,24,503,538
1,15,501, 
1, , , 
1,14,590,578
1, , , 
2,25,478,572
 , , , 
1,23,527,481
1, , , 
2,18,454,523
2, , , 
2,16,471,523
4,21,564,549
1,27,564,520
1, , , 
1,23,558,512
1, , , 
1,26,558,567
1,27,558,567
2, , , 
2, , , 
2, , , 
2, , , 
1, , , 
1, , , 
1, , , 
1, , , 
2, , , 
2,21,444,497
2,23,482,520
2, , , 
2, , , 
2,21,448,518
2, , , 
 , , , 
2, , , 
2, , , 
2, , , 
2, , , 
 , , , 
1, , , 
 , , , 
1, , , 
2,25,514,612
2, , , 
 , , , 
1, , , 
2, , , 
2, , , 
1, , , 
1,27,629,592
2, , , 
2, , , 
2,24,507,468
1,23,540,553
1,24,530,507
1,14,501,557
1, , , 
1,21,521,518
1, , , 
2, , , 
1, , , 
1,24,571,601
1,24,548,502
1,13,451,529
1,26,509,553
1,24,509,523
1, , , 
1, , , 
1, , , 
1, , , 
1, , , 
1,16,505,520
2, , , 
1, , , 
1, , , 
1,26,487,505
1,22,507,523
1, , , 
1, , , 
2, , , 
6,22,629,601
1, , , 
1, , , 
2, , , 
1, , , 
2, , , 
1, , , 
1,18,516,518
1, , , 
2,15, , 
2,25,487,549
2, , , 
2, , , 
1,22,462,479
2, , , 
2, , , 
2, , , 
2,17,524,529
1, , , 
2, , , 
1, , , 
2, , , 
1,15,540,553
1,22,468,532
2, , , 
1, , , 
 , , , 
3, , , 
2, , , 
1,22,571,601
1, , , 
1,25,571,592
1,22,448,490
1, , , 
2, , , 
2,16,451,486
1, , , 
1, , , 
1, , , 
1, , , 
1, , , 
2, , , 
1, , , 
1, , , 
2, , , 
2, , , 
2, , , 
2, , , 
2, , , 
 , , , 
 , , , 
2, , , 
2,17,558,538
2, , , 
1, , , 
2, , , 
1,15,564,584
2, , , 
2,29,524,562
2, , , 
2, , , 
2, , , 
2, , , 
1,15,494,557
2, , , 
1,25,579,512
2, , , 
1, , , 
1,24,558,502
2,25,516,507
2,22, ,497
1, , , 
2, , , 
2, , , 
2, , , 
2, , , 
1,21,472,507
2, , , 
1, , , 
 , , , 
1, , , 
2, , , 
1, , , 
1, , , 
2, , , 
2, , , 
2, , , 
1,23,521,545
2, , , 
2, , , 
2,29, ,451
2, , , 
1,14,548,532
2, , , 
 , , , 
2, , , 
2, , , 
1, , , 
 , , , 
1, , , 
2,23,651,538
1, , , 
1,25, , 
1, , , 
1, , , 
2, , , 
1, , , 
1, , , 
2, , , 
1, , , 
1, , , 
2, , , 
1,24,519,545
2, , , 
1, , , 
1, , , 
2, , , 
1, , , 
 , , , 
1,21,457,465
1, , , 
2, , , 
1, , , 
1,24,579,572
2, , , 
1, , , 
2, , , 
1, , , 
2, , , 
1,22,501,557
2, , , 
1,24,553,567
1, , , 
1, , , 
1, , , 
2, , , 
1,27,482,495
1, , , 
1,24,505,518
1,24,494,518
2,18,512,562
1, , , 
1,26,460,481
1, , , 
1, , , 
1, , , 
1, , , 
1,15,530,567
1, , , 
1, , , 
1,23,629,549
1, , , 
1,26,450,486
1, , , 
1,16,604,584
2, , , 
1, , , 
1,22,651,592
1,17,495,526
1,22,544,523
1,23,507,515
1, , , 
1,17,533,549
1,20,509,526
1, , , 
1, , , 
1, , , 
2, , , 
1,21,468,518
1, , , 
1, , , 
1, , , 
1,26,629,520
1, , , 
1,26,548,592
1, , , 
1,17, ,510
1,20,558,572
1,21,540,512
1, , , 
1,15,456,484
1,24,590,510
1, , , 
2,13,519,523
1,26,536,520
1, , , 
1,22,571,562
1,30, ,535
1, , , 
2,23,516,493
1,13,590,592
2, , , 
1,13,497,497
1,15,579,627
1, , , 
1,22,604,572
1, , , 
1, , , 
1, , , 
1,16,459,472
1, , , 
6, , , 
2, , , 
1, , , 
1, , , 
2, , , 
1,23,579,562
1,16,564,545
2,22,536,535
2, , , 
1,22,487,481
1,14,629,578
2,15,490,526
2,21,590,542
1, , , 
1,22,469,505
1, , , 
1,22,447,481
2,29,462,454
2, , , 
1, , , 
1,25,428,470
 , , , 
2, , , 
2, , , 
1, , , 
1,22,536,567
1, , , 
1, , , 
1, , , 
2, , , 
1,26,514,572
1, , , 
2,21,495,468
1, , , 
1, , , 
1,23,503,562
1, , , 
 , , , 
2,21, , 
2, , , 
2, , , 
2, , , 
3,22,629,584
2, , , 
1, , , 
1, , , 
1, , , 
2, , , 
2, , , 
2,26, , 
2, , , 
1,18,521,553
1, , , 
2, , , 
2, , , 
1,14,604,553
2,23, ,472
2, , , 
2,18,544,518
2, , , 
2,22,471,500
2, , , 
2, , , 
2, , , 
2,22,497,538
2,17,431,474
2, , , 
2,17,527,535
2, , , 
2, , , 
1,19,478,535
1,13,590,538
2,17,516,532
1, , , 
2, , , 
2,17,442,439
1, , , 
2, , , 
1, , , 
1, , , 
1,22,438,479
2, , , 
1, , , 
1,23,480,526
2,17,497, 
2,22,434,486
1, , , 
4, , , 
2,25,503,515
2, , , 
2, , , 
1,17, , 
1,21,469,474
 , , , 
2,22,436,456
2, , , 
2, , , 
2, , , 
2,25,480,456
2, , , 
2, , , 
2,23,475,515
2,17,477,490
1, , , 
1,23,524,538
1,24,548,601
1,24,533,567
1,21,530,612
1,17,521,512
1, , , 
2, , , 
2,29, ,477
2, , , 
2, , , 
1,25,564,529
2, , , 
1, , , 
1,21,499,572
1, , , 
 , , , 
1,22,629,567
1, , , 
2,22,463,481
1, , , 
1,22,564,512
2, , , 
 , , , 
2, , , 
